Date,Open,High,Low,Close,Adj Close,Volume
7/8/2013,15.003929,15.035714,14.666071,14.823214,12.869472,298138400
7/9/2013,14.771429,15.125,14.656429,15.083929,13.095823,352584400
7/10/2013,14.985714,15.171429,14.9375,15.026071,13.045588,281405600
7/11/2013,15.105357,15.294643,15.041786,15.260357,13.248996,326292400
7/12/2013,15.273214,15.349643,15.121786,15.2325,13.224813,279563200
7/15/2013,15.178929,15.409286,15.171429,15.265714,13.253648,241917200
7/16/2013,15.232857,15.3825,15.148929,15.364286,13.33923,216538000
7/17/2013,15.346429,15.436429,15.293571,15.368214,13.342636,198990400
7/18/2013,15.477857,15.531071,15.378929,15.42,13.387597,218878800
7/19/2013,15.467857,15.499286,15.155357,15.176786,13.176441,268721600
7/22/2013,15.337857,15.348214,15.195357,15.225357,13.21861,207796400
7/23/2013,15.214286,15.248571,14.953929,14.963929,12.99164,369395600
7/24/2013,15.676071,15.878214,15.545,15.7325,13.658913,591936800
7/25/2013,15.739286,15.764286,15.564643,15.660714,13.596585,229493600
7/26/2013,15.546429,15.751429,15.512143,15.749643,13.673795,200152400
7/29/2013,15.742857,16.071072,15.721429,15.9925,13.884644,248057600
7/30/2013,16.07,16.326786,16.043928,16.190001,14.056111,309422400
7/31/2013,16.249643,16.33357,16.051071,16.161785,14.031611,322957600
8/1/2013,16.276787,16.314285,16.187857,16.309999,14.160295,206250800
8/2/2013,16.3575,16.530357,16.309286,16.519285,14.341994,274783600
8/5/2013,16.596071,16.809643,16.505358,16.766071,14.556252,318855600
8/6/2013,16.715,16.853214,16.506071,16.616072,14.426025,334857600
8/7/2013,16.564285,16.678572,16.491785,16.606428,14.417652,298858000
8/8/2013,16.566429,16.575001,16.355356,16.464643,14.388939,255777200
8/9/2013,16.379999,16.445,16.201786,16.230356,14.184188,266865200
8/12/2013,16.316429,16.737499,16.308214,16.691429,14.587137,364434000
8/13/2013,16.819286,17.66643,16.71607,17.484644,15.28035,881941200
8/14/2013,17.781429,18.008928,17.621429,17.803572,15.559068,756372400
8/15/2013,17.729286,17.942858,17.467142,17.782499,15.540648,490294000
8/16/2013,17.862499,17.962143,17.816429,17.940357,15.678608,362306000
8/19/2013,18.012142,18.347857,18,18.133572,15.847466,510518400
8/20/2013,18.20393,18.234644,17.886429,17.895357,15.639283,358688400
8/21/2013,17.985357,18.112499,17.9,17.941429,15.679545,335879600
8/22/2013,18.035,18.056786,17.792856,17.962856,15.698276,244207600
8/23/2013,17.973928,17.976786,17.833929,17.893572,15.637723,222731600
8/26/2013,17.883928,18.22143,17.875,17.963215,15.698591,330965600
8/27/2013,17.785713,17.946787,17.367857,17.449642,15.249756,424188800
8/28/2013,17.357143,17.707144,17.357143,17.532143,15.321859,307608000
8/29/2013,17.558929,17.732143,17.540358,17.560715,15.346828,239657600
8/30/2013,17.571428,17.605356,17.375,17.400715,15.207001,272297200
9/3/2013,17.610714,17.878571,17.405357,17.449286,15.249447,331928800
9/4/2013,17.841429,17.937143,17.724285,17.810356,15.564991,345032800
